iter	Passed	Remaining
332	1605	3215
333	1610	3211
334	1616	3209
335	1622	3206
336	1627	3202
337	1633	3199
338	1639	3196
339	1645	3194
340	1650	3189
341	1657	3188
342	1663	3186
343	1669	3183
344	1674	3178
345	1681	3177
346	1687	3175
347	1692	3170
348	1697	3165
349	1701	3159
350	1706	3154
351	1710	3149
352	1715	3143
353	1719	3138
354	1724	3132
355	1728	3127
356	1733	3122
357	1738	3117
358	1743	3112
359	1748	3107
360	1753	3103
361	1757	3098
362	1762	3092
363	1767	3087
364	1771	3082
365	1776	3076
366	1780	3071
367	1784	3065
368	1789	3059
369	1793	3054
370	1798	3048
371	1802	3043
372	1806	3037
373	1811	3031
374	1815	3026
375	1820	3021
376	1825	3015
377	1829	3010
378	1834	3005
379	1838	3000
380	1843	2995
381	1848	2990
382	1853	2985
383	1858	2981
384	1863	2977
385	1868	2972
386	1873	2968
387	1877	2962
388	1882	2956
389	1887	2952
390	1892	2947
391	1896	2942
392	1902	2938
393	1907	2933
394	1912	2928
395	1917	2924
396	1922	2920
397	1927	2915
398	1933	2911
399	1937	2906
400	1941	2900
401	1946	2896
402	1951	2890
403	1955	2885
404	1960	2880
405	1965	2875
406	1970	2870
407	1974	2864
408	1980	2861
409	1986	2859
410	1992	2855
411	1998	2852
412	2005	2849
413	2010	2846
414	2015	2841
415	2020	2836
416	2027	2834
417	2031	2829
418	2037	2824
419	2041	2819
420	2046	2815
421	2051	2810
422	2056	2805
423	2061	2800
424	2067	2797
425	2073	2793
426	2078	2789
427	2084	2785
428	2089	2781
429	2094	2776
430	2100	2772
431	2105	2768
432	2111	2764
433	2116	2760
434	2121	2755
435	2127	2752
436	2133	2748
437	2138	2743
438	2143	2739
439	2149	2735
440	2155	2732
441	2161	2728
442	2167	2725
443	2173	2721
444	2178	2716
445	2183	2712
446	2189	2708
447	2194	2704
448	2199	2699
449	2206	2696
450	2212	2693
451	2217	2688
452	2222	2683
453	2227	2678
454	2232	2674
455	2238	2670
456	2243	2665
457	2247	2659
458	2252	2654
459	2257	2649
460	2261	2643
461	2265	2638
462	2270	2632
463	2274	2627
464	2278	2621
465	2284	2618
466	2289	2612
467	2293	2607
468	2298	2602
469	2303	2597
470	2308	2592
471	2312	2587
472	2317	2582
473	2322	2576
474	2326	2571
475	2331	2566
476	2336	2561
477	2341	2557
478	2346	2552
479	2351	2547
480	2357	2544
481	2363	2539
482	2369	2536
483	2376	2533
484	2382	2529
485	2386	2524
486	2391	2519
487	2395	2513
488	2401	2509
489	2406	2505
490	2411	2499
491	2416	2495
492	2421	2490
493	2426	2485
494	2431	2480
495	2435	2475
496	2440	2470
497	2445	2464
498	2450	2460
499	2455	2455
500	2460	2450
501	2465	2445
502	2470	2440
503	2474	2435
504	2479	2430
505	2483	2425
506	2489	2420
507	2493	2414
508	2498	2409
509	2502	2404
510	2506	2398
511	2510	2392
512	2515	2387
513	2519	2382
514	2524	2377
515	2528	2371
516	2532	2366
517	2537	2361
518	2541	2355
519	2546	2350
520	2550	2344
521	2555	2339
522	2559	2334
523	2564	2329
524	2568	2323
525	2572	2318
526	2577	2313
527	2581	2307
528	2586	2302
529	2590	2297
530	2594	2291
531	2599	2286
532	2603	2281
533	2607	2275
534	2612	2270
535	2616	2265
536	2620	2259
537	2625	2254
538	2629	2249
539	2634	2244
540	2638	2238
541	2643	2233
542	2647	2228
543	2651	2222
544	2655	2217
545	2660	2212
546	2666	2207
547	2670	2202
548	2675	2197
549	2679	2192
550	2684	2187
551	2688	2181
552	2693	2176
553	2697	2171
554	2702	2166
555	2706	2161
556	2711	2156
557	2715	2150
558	2719	2145
559	2724	2140
560	2728	2135
561	2732	2129
562	2737	2124
563	2741	2119
564	2745	2114
565	2750	2108
566	2754	2103
567	2759	2098
568	2763	2093
569	2768	2088
570	2773	2083
571	2777	2078
572	2782	2073
573	2786	2068
574	2791	2063
575	2796	2058
576	2800	2053
577	2806	2048
578	2811	2044
579	2815	2038
580	2820	2034
581	2825	2029
582	2830	2024
583	2835	2019
584	2839	2014
585	2844	2009
586	2849	2004
587	2854	2000
588	2859	1995
589	2863	1990
590	2868	1985
591	2872	1979
592	2877	1975
593	2882	1970
594	2887	1965
595	2892	1960
596	2897	1955
597	2902	1951
598	2907	1946
599	2912	1941
600	2917	1936
601	2921	1931
602	2926	1926
603	2930	1921
604	2935	1916
605	2940	1911
606	2944	1906
607	2949	1901
608	2954	1896
609	2958	1891
610	2962	1886
611	2967	1881
612	2971	1876
613	2976	1871
614	2980	1865
615	2984	1860
616	2988	1855
617	2993	1850
618	2997	1844
619	3001	1839
620	3006	1834
621	3010	1829
622	3014	1824
623	3018	1819
624	3023	1814
625	3027	1808
626	3032	1804
627	3036	1798
628	3041	1793
629	3045	1788
630	3050	1783
631	3055	1778
632	3059	1773
633	3063	1768
634	3067	1763
635	3072	1758
636	3076	1753
637	3081	1748
638	3085	1743
639	3090	1738
640	3094	1733
641	3098	1728
642	3103	1723
643	3108	1718
644	3113	1713
645	3117	1708
646	3122	1703
647	3127	1698
648	3131	1693
649	3136	1688
650	3140	1683
651	3145	1678
652	3149	1673
653	3154	1668
654	3158	1663
655	3162	1658
656	3167	1653
657	3171	1648
658	3176	1643
659	3180	1638
660	3185	1633
661	3189	1628
662	3194	1623
663	3198	1618
664	3202	1613
665	3206	1608
666	3211	1603
667	3215	1598
668	3219	1593
669	3224	1588
670	3228	1583
671	3233	1578
672	3237	1572
673	3241	1567
674	3246	1563
675	3251	1558
676	3256	1553
677	3261	1548
678	3267	1544
679	3272	1539
680	3277	1535
681	3282	1530
682	3286	1525
683	3291	1520
684	3295	1515
685	3300	1510
686	3305	1505
687	3309	1500
688	3314	1495
689	3318	1490
690	3324	1486
691	3328	1481
692	3334	1477
693	3340	1472
694	3345	1468
695	3350	1463
696	3355	1458
697	3359	1453
698	3364	1448
699	3369	1443
700	3373	1439
701	3378	1434
702	3384	1429
703	3389	1425
704	3396	1421
705	3402	1416
706	3407	1412
707	3414	1408
708	3419	1403
709	3424	1398
710	3431	1394
711	3436	1390
712	3442	1385
713	3447	1380
714	3454	1376
715	3460	1372
716	3465	1367
717	3470	1363
718	3476	1358
719	3483	1354
720	3489	1350
721	3496	1346
722	3503	1342
723	3511	1338
724	3518	1334
725	3525	1330
726	3533	1326
727	3540	1322
728	3546	1318
729	3555	1314
730	3561	1310
731	3567	1306
732	3575	1302
733	3582	1298
734	3597	1296
735	3605	1293
736	3612	1289
737	3619	1284
738	3627	1281
739	3634	1277
740	3640	1272
741	3649	1268
742	3657	1264
743	3661	1259
744	3666	1254
745	3671	1250
746	3677	1245
747	3682	1240
748	3687	1235
749	3692	1230
750	3697	1225
751	3702	1220
752	3706	1215
753	3711	1210
754	3716	1205
755	3721	1200
756	3726	1196
757	3730	1191
758	3735	1186
759	3739	1180
760	3744	1176
761	3749	1170
762	3753	1165
763	3758	1160
764	3763	1155
765	3768	1151
766	3772	1145
767	3777	1141
768	3781	1136
769	3786	1131
770	3791	1126
771	3796	1121
772	3801	1116
773	3806	1111
774	3810	1106
775	3815	1101
776	3820	1096
777	3826	1092
778	3831	1086
779	3836	1081
780	3840	1077
781	3845	1071
782	3849	1066
783	3854	1061
784	3858	1056
785	3862	1051
786	3867	1046
787	3871	1041
788	3876	1036
789	3880	1031
790	3884	1026
791	3889	1021
792	3893	1016
793	3898	1011
794	3902	1006
795	3907	1001
796	3911	996
797	3916	991
798	3920	986
799	3925	981
800	3929	976
801	3934	971
802	3938	966
803	3942	961
804	3947	956
805	3951	951
806	3955	946
807	3960	941
808	3965	936
809	3969	931
810	3974	926
811	3978	921
812	3982	916
813	3986	911
814	3991	905
815	3995	901
816	4000	895
817	4004	891
818	4009	886
819	4013	881
820	4018	876
821	4022	871
822	4027	866
823	4031	861
824	4036	856
825	4040	851
826	4044	846
827	4049	841
828	4053	836
829	4058	831
830	4062	826
831	4067	821
832	4072	816
833	4078	811
834	4083	806
835	4088	802
836	4093	797
837	4098	792
838	4103	787
839	4107	782
840	4112	777
841	4117	772
842	4121	767
843	4126	762
844	4131	757
845	4135	752
846	4140	748
847	4145	743
848	4150	738
849	4154	733
850	4158	728
851	4163	723
852	4167	718
853	4172	713
854	4176	708
855	4181	703
856	4185	698
857	4189	693
858	4194	688
859	4198	683
860	4203	678
861	4207	673
862	4212	668
863	4217	663
864	4222	658
865	4226	653
866	4231	649
867	4235	644
868	4239	639
869	4244	634
870	4249	629
871	4253	624
872	4258	619
873	4262	614
874	4267	609
875	4271	604
876	4275	599
877	4280	594
878	4284	589
879	4289	584
880	4293	579
881	4297	575
882	4302	570
883	4306	565
884	4310	560
885	4314	555
886	4319	550
887	4324	545
888	4329	540
889	4333	535
890	4338	530
891	4342	525
892	4346	520
893	4351	515
894	4356	511
895	4361	506
896	4366	501
897	4371	496
898	4376	491
899	4381	486
900	4386	481
901	4391	477
902	4397	472
903	4402	467
904	4407	462
905	4412	457
906	4417	452
907	4424	448
908	4430	443
909	4436	438
910	4442	433
911	4448	429
912	4454	424
913	4459	419
914	4464	414
915	4469	409
916	4475	405
917	4480	400
918	4485	395
919	4490	390
920	4496	385
921	4501	380
922	4508	376
923	4515	371
924	4522	366
925	4527	361
926	4533	356
927	4539	352
928	4544	347
929	4550	342
930	4555	337
931	4560	332
932	4565	327
933	4570	322
934	4574	318
935	4580	313
936	4584	308
937	4589	303
938	4594	298
939	4598	293
940	4603	288
941	4608	283
942	4613	278
943	4618	273
944	4623	269
945	4628	264
946	4632	259
947	4637	254
948	4642	249
949	4646	244
950	4651	239
951	4656	234
952	4661	229
953	4666	225
954	4671	220
955	4676	215
956	4681	210
957	4685	205
958	4690	200
959	4694	195
960	4699	190
961	4703	185
962	4707	180
963	4711	175
964	4716	171
965	4720	166
966	4725	161
967	4729	156
968	4733	151
969	4738	146
970	4743	141
971	4749	136
972	4754	131
973	4759	127
974	4764	122
975	4768	117
976	4773	112
977	4778	107
978	4782	102
979	4787	97
980	4792	92
981	4796	87
982	4801	83
983	4806	78
984	4810	73
985	4815	68
986	4820	63
987	4825	58
988	4829	53
989	4834	48
990	4840	43
991	4844	39
992	4849	34
993	4854	29
994	4859	24
995	4864	19
996	4869	14
997	4874	9
998	4878	4
999	4883	0
